"Anni","Sesso","SituazioneSentim","Figli","Lavoro","Ombrelloni","Ristorante","Palestra","CampiDaGioco","WiFi","Giornali","Parcheggio","Animazione","AttivitaDiGruppo","Docce","Canoa","Prezzi","Vicinanza","Servizi","Meteo","Affluenza"
22.30,"f","Fidanzata/o","n","Impiegato",0,0,1,1,0,0,1,1,1,1,0,1,1,1,1,0
22.30,"f","Single","n","Impiegato",1,0,1,0,0,1,1,0,1,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Impiegato",0,0,0,1,1,0,0,0,0,1,0,1,1,1,1,0
60,"m","Sposata/o","n","Pensonato/a",1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n",Impiegato,1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
60,"f","Sposata/o","n","Pensonato/a",0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Studente/essa",1,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Studente/essa",0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Impiegato",0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Studente/essa",0,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0
22.30,"f","Fidanzata/o","n","Impiegato",0,1,0,0,0,0,1,0,0,1,0,1,1,1,1,0
30.40,"m","Fidanzata/o","n","Impiegato",1,0,1,1,1,1,0,0,1,1,0,1,1,1,1,0
30.40,"m","Fidanzata/o","n","LiberoProfessionista",0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0
22.30,"f","Single","n","Studente/essa",1,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0
22.30,"f","Single","n","Studente/essa",0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0
50.60,"f","Sposata/o","n","Altro",0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0
22.30,"f","Single","n","Impiegato",1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
30.40,"m","Sposata/o","s","Impiegato",1,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1
40.50,"m","Sposata/o","s","Impiegato",0,0,0,0,1,1,1,1,0,1,0,1,1,1,0,1
30.40,"m","Fidanzata/o","n","Impiegato",1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,0
22.30,"m","Fidanzata/o","n","Impiegato",1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0
50.60,"f","Sposata/o","n","Altro",0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,0
50.60,"f","Sposata/o","n","Impiegato",1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
14,"f","Single","n","Studente/essa",0,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1
15.21,"f","Fidanzata/o","n","Disoccupato",0,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0
14,"f","Fidanzata/o","n","Studente/essa",1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0
15.21,"f","Single","n","Studente/essa",1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",1,0,0,0,0,1,0,1,1,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0
14,"f","Single","n","Studente/essa",1,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0
14,"f","Single","n","Studente/essa",0,0,0,1,0,0,1,1,1,1,0,1,1,0,1,1
15.21,"m","Single","n","Studente/essa",1,0,0,1,1,0,1,1,0,1,0,1,1,0,1,1
15.21,"f","Single","n","Studente/essa",1,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1
22.30,"f","Fidanzata/o","n","Studente/essa",1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1
15.21,"f","Single","n","Studente/essa",1,0,1,0,1,0,0,0,1,1,0,0,1,0,1,1
22.30,"f","Fidanzata/o","n","Impiegato",0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0
15.21,"m","Single","n","Studente/essa",1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
30.40,"m","Fidanzata/o","n","Operaio/a",0,1,1,1,0,1,1,0,1,1,0,0,1,1,1,1
60,"m","Sposata/o","s","LiberoProfessionista",1,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0
60,"f","Sposata/o","n","Pensonato/a",1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0
50.60,"m","Divorziata/o","n","Pensonato/a",0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0
60,"f","Sposata/o","n","Pensonato/a",0,0,0,1,0,0,1,1,1,1,0,1,1,1,1,0
15.21,"m","Single","n","Studente/essa",1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0
15.21,"f","Single","n","Studente/essa",1,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1
15.21,"m","Fidanzata/o","n","Disoccupato",0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0
15.21,"m","Single","n","Studente/essa",0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1
15.21,"m","Single","n","Altro",1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1
40.50,"f","Sposata/o","n","Disoccupato",0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
15.21,"f","Single","n","Studente/essa",0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0
40.50,"f","Sposata/o","n","Disoccupato",0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0
22.30,"m","Fidanzata/o","n","Studente/essa",1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,0
30.40,"m","Single","n","Operaio/a",0,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0
15.21,"m","Single","n","Altro",0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0
50.60,"f","Sposata/o","s","Impiegato",0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1
15.21,"f","Single","n","Studente/essa",0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1
15.21,"m","Fidanzata/o","n","Operaio/a",1,0,1,1,1,0,0,1,0,0,0,1,0,1,1,1
22.30,"m","Fidanzata/o","n","Studente/essa",1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
40.50,"m","Fidanzata/o","n","Commerciante",0,0,1,0,1,1,1,1,0,1,0,1,1,1,1,1
22.30,"m","Fidanzata/o","n","Impiegato",0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1
15.21,"m","Single","n","Studente/essa",0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1
40.50,"f","Sposata/o","s","LiberoProfessionista",0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,0
22.30,"m","Single","n","LiberoProfessionista",0,1,1,1,0,0,0,0,1,1,0,1,1,1,1,0
14,"m","Fidanzata/o","n","Studente/essa",0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0
15.21,"m","Single","n","Studente/essa",1,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0
15.21,"m","Single","n","Studente/essa",0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,0
14,"f","Single","n","Studente/essa",0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1
14,"f","Single","n","Studente/essa",1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1
40.50,"f","Sposata/o","n","Altro",0,0,0,1,0,1,0,0,0,1,0,1,1,1,1,1
15.21,"m","Single","n","Studente/essa",0,1,1,1,1,0,1,0,0,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Impiegato",0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0
22.30,"m","Fidanzata/o","n","Studente/essa",0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",1,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0
15.21,"f","Fidanzata/o","n","Studente/essa",0,1,0,0,0,0,1,1,0,1,0,1,1,1,1,0
15.21,"m","Fidanzata/o","n","Studente/essa",1,0,0,1,0,1,1,0,1,1,0,1,1,1,1,0
